Event,Macropulse,Width,Timestamp,Material Thickness
0,0.078,76.2,8850.0,NaN
1,0.178,93.4,7630.0,NaN
2,0.278,77.8,8910.0,NaN
3,0.378,80.4,8470.0,NaN
4,0.478,85.8,9030.0,NaN
5,0.561,72.1,9040.0,NaN
6,0.678,90.6,9410.0,NaN
7,0.778,83.4,9580.0,NaN
8,0.878,73.1,9100.0,NaN
9,0.978,81.0,8810.0,NaN
10,1.078,96.2,8340.0,NaN
11,1.178,92.7,8510.0,NaN
12,1.278,86.4,8160.0,NaN
13,1.378,87.7,8520.0,NaN
14,1.478,78.3,8780.0,NaN
15,1.578,85.1,8860.0,NaN
16,1.678,79.3,9000.0,NaN
17,1.778,83.2,8570.0,NaN
18,1.878,78.1,8400.0,NaN
19,1.978,76.3,8800.0,NaN
20,2.078,76.0,8870.0,NaN
21,2.178,83.7,8400.0,NaN
22,2.278,82.7,8320.0,NaN
23,2.323,88.4,9260.0,NaN
24,2.478,68.5,8210.0,NaN
25,2.578,79.4,8800.0,NaN
26,2.678,84.7,7800.0,NaN
27,2.778,90.0,8120.0,NaN
28,2.878,79.6,8800.0,NaN
29,2.978,79.8,7640.0,NaN
30,3.078,80.1,7570.0,NaN
31,3.178,76.4,8960.0,NaN
32,3.278,100.0,7770.0,NaN
33,3.378,63.8,10400.0,NaN
34,3.478,77.2,7810.0,NaN
35,3.578,105.0,8160.0,NaN
36,3.678,67.7,9270.0,NaN
37,3.778,62.0,8470.0,NaN
38,3.878,56.7,11600.0,NaN
39,3.978,42.7,11300.0,NaN
40,4.078,28.5,14200.0,NaN
41,4.178,17.2,17600.0,NaN
42,4.278,8.85,25800.0,NaN
43,4.378,6.2,34500.0,NaN
44,4.478,6.52,41200.0,NaN
45,4.578,6.81,42400.0,NaN
46,4.678,6.71,45000.0,NaN
47,4.778,7.0,42500.0,NaN
48,4.878,6.84,41900.0,NaN
49,4.978,7.17,41400.0,NaN
50,5.078,6.97,38300.0,NaN
51,5.177,6.81,40600.0,NaN
52,5.277,7.17,42400.0,NaN
53,5.377,7.02,44200.0,NaN
54,5.477,7.02,41400.0,NaN
55,5.577,6.81,40400.0,NaN
56,5.677,6.88,39500.0,NaN
57,5.777,6.87,40300.0,NaN
58,5.877,6.85,41400.0,NaN
59,5.977,6.75,39900.0,NaN
60,6.077,6.82,43600.0,NaN
61,6.177,7.06,40700.0,NaN
62,6.277,6.8,40700.0,NaN
63,6.377,6.88,43000.0,NaN
64,6.477,6.88,37900.0,NaN
65,6.577,6.99,40900.0,NaN
66,6.677,7.53,28400.0,NaN
67,6.777,18.6,19600.0,NaN
68,6.877,22.1,16900.0,NaN
69,6.977,24.1,16600.0,NaN
70,7.077,21.9,17000.0,NaN
71,7.177,22.4,17600.0,NaN
72,7.277,21.0,17000.0,NaN
73,7.377,22.5,17600.0,NaN
74,7.477,22.8,16300.0,NaN
75,7.577,22.6,16400.0,NaN
76,7.677,22.4,17300.0,NaN
77,7.777,22.2,16800.0,NaN
78,7.877,23.3,15500.0,NaN
79,7.977,22.6,16400.0,NaN
80,8.077,22.7,17800.0,NaN
81,8.177,22.0,15900.0,NaN
82,8.277,22.8,15900.0,NaN
83,8.377,23.0,18100.0,NaN
84,8.477,22.2,13900.0,NaN
85,8.577,21.3,16800.0,NaN
86,8.677,24.7,16100.0,NaN
87,8.777,23.3,17600.0,NaN
88,8.877,25.1,16500.0,NaN
89,8.977,23.6,16200.0,NaN
90,9.077,22.9,18700.0,NaN
91,9.177,21.9,18600.0,NaN
92,9.277,23.4,17000.0,NaN
93,9.377,22.8,15500.0,NaN
94,9.477,22.0,17100.0,NaN
95,9.577,22.7,16900.0,NaN
96,9.677,23.4,14000.0,NaN
97,9.777,19.9,17600.0,NaN
98,9.877,23.3,16900.0,NaN
99,9.977,23.0,16500.0,NaN
