Event,Macropulse,Width,Timestamp,Material Thickness
0,0.078,80.9,11100.0,134
1,0.178,88.5,8880.0,35
2,0.278,86.7,9860.0,68
3,0.378,75.8,10100.0,84.5
4,0.478,75.7,8940.0,35
5,0.578,76.4,9470.0,51.5
6,0.678,74.0,9870.0,68
7,0.778,81.7,9890.0,68
8,0.878,84.6,9410.0,35
9,0.978,88.7,9470.0,51.5
10,1.078,86.3,8820.0,51.5
11,1.178,91.5,10100.0,84.5
12,1.278,89.0,8100.0,84.5
13,1.378,82.2,10500.0,101
14,1.478,89.9,10600.0,101
15,1.578,77.2,9890.0,68
16,1.678,80.9,9880.0,68
17,1.778,73.5,10100.0,84.5
18,1.878,74.0,9200.0,35
19,1.978,78.1,10100.0,84.5
20,2.078,81.7,10900.0,117.5
21,2.178,96.4,9460.0,51.5
22,2.278,102.0,9010.0,35
23,2.378,82.1,8990.0,35
24,2.478,87.9,10300.0,84.5
25,2.578,82.4,10500.0,101
26,2.678,90.1,9590.0,51.5
27,2.778,83.1,9480.0,51.5
28,2.878,82.5,9410.0,35
29,2.978,84.7,9800.0,68
30,3.078,89.7,9730.0,51.5
31,3.178,85.8,9830.0,68
32,3.278,71.4,9760.0,68
33,3.378,75.3,10000.0,68
34,3.478,90.1,9120.0,35
35,3.578,111.0,9900.0,68
36,3.678,90.2,10700.0,117.5
37,3.778,97.5,9840.0,68
38,3.878,71.7,9470.0,51.5
39,3.978,75.8,9450.0,51.5
40,4.078,81.2,10400.0,101
41,4.178,86.2,9820.0,68
42,4.278,75.9,10300.0,84.5
43,4.378,106.0,9230.0,35
44,4.478,77.9,10300.0,84.5
45,4.578,89.1,8990.0,35
46,4.678,82.8,8510.0,68
47,4.778,86.8,10400.0,101
48,4.878,84.2,10500.0,101
49,4.918,85.8,9290.0,35
50,5.078,76.9,9190.0,35
51,5.177,84.2,9910.0,68
52,5.236,75.9,10200.0,84.5
53,5.377,84.2,9930.0,68
54,5.477,82.5,9520.0,51.5
55,5.577,74.7,9350.0,35
56,5.677,97.1,11100.0,134
57,5.777,82.2,9440.0,NaN
58,5.877,94.9,10300.0,84.5
59,5.977,87.5,8820.0,51.5
60,6.077,81.6,8870.0,35
61,6.177,80.1,10500.0,101
62,6.277,83.5,9700.0,51.5
63,6.377,95.1,11200.0,134
64,6.477,88.6,8720.0,51.5
65,6.577,93.9,9510.0,51.5
66,6.677,99.9,9020.0,35
67,6.777,82.7,10100.0,84.5
68,6.877,97.2,11400.0,150.5
69,6.977,71.5,11500.0,150.5
70,7.077,95.9,8350.0,68
71,7.177,75.0,10300.0,84.5
72,7.277,97.1,8190.0,84.5
73,7.377,95.0,9540.0,51.5
74,7.477,95.5,9280.0,35
75,7.577,78.7,8960.0,35
76,7.677,90.6,8620.0,51.5
77,7.777,93.5,8870.0,35
78,7.877,80.0,8620.0,51.5
79,7.977,81.6,9900.0,68
80,8.077,82.8,11400.0,150.5
81,8.177,70.7,10300.0,84.5
82,8.277,102.0,9120.0,35
83,8.377,99.1,10300.0,84.5
84,8.477,81.0,10900.0,117.5
85,8.577,75.6,10100.0,84.5
86,8.677,98.6,9270.0,35
87,8.777,92.4,9150.0,35
88,8.877,80.2,11600.0,167
89,8.977,83.1,9800.0,68
90,9.077,79.0,9450.0,51.5
91,9.177,103.0,10200.0,84.5
92,9.277,103.0,9680.0,51.5
93,9.377,86.4,9210.0,35
94,9.477,89.6,9890.0,68
95,9.577,75.8,9560.0,51.5
96,9.677,80.6,9250.0,35
97,9.777,83.5,9550.0,51.5
98,9.877,84.1,9760.0,68
99,9.906,89.4,10700.0,117.5
