# Parameter scan performed using fm_doocs_generic_scantool.py on 20240403T171620
# Original save path: ./eCTLogger_20240403T171620.txt
# DOOCS addresses used:
# Write [SP]: None [Stability Measurement] --> "[Stability Measurement]"
# Read [X]: SINBAD.FL/THORLABS.STAGE/FLLINEARSTAGE.X/POSITION.RBV --> "FL Stage X RBV"
# Read [Y]: SINBAD.DIAG/TIMER.CENTRAL/MASTER/MACRO_PULSE_NUMBER --> "Macropulse Number"
# Additional recorded addresses:
#  [ADD 1]: SINBAD.FL/THORLABS.STAGE/ROTATIONMOUNT.1/POSITION.RBV --> "FL Rotation Mount RBV"
#  [ADD 2]: SINBAD.FL/THORLABS.STAGE/FLLINEARSTAGE.Y/POSITION.RBV --> "FL Stage Y RBV"
#  [ADD 3]: SINBAD.UTIL/MACHINE.STATE/ACCLXSISRV04._SVR/SVR.ERROR_COUNT --> "Machine Alarm Deviating"
#  [ADD 4]: SINBAD.DIAG/TICT/K7510/CHARGE.LUT --> "Turbo-ICT (Look-up table)"
# Number of measurements per step: 1
# Data from the individual DOOCS addresses was NOT SYNCED
# ---------------------------
# [SP] Data Point (No.)	[X] Position (mm)	[Y] Index ()	[ADD 1] Position (deg)	[ADD 2] Position (mm)	[ADD 3] Count ()	[ADD 4] Charge (pC)	UNIX Time Stamp (seconds)
# ---------------------------
1.0	300.0	1974967226.0	0.026046525686979294	80.0	0.0	0.0	1712157380.8515856
2.0	300.0	1974967227.0	0.026046525686979294	80.0	0.0	0.0	1712157380.9536777
3.0	300.0	1974967228.0	0.026046525686979294	80.0	0.0	0.013073349371552467	1712157381.0558877
4.0	300.0	1974967229.0	0.026046525686979294	80.0	0.0	0.011379307135939598	1712157381.1579561
5.0	300.0	1974967230.0	0.026046525686979294	80.0	0.0	0.0	1712157381.2603285
6.0	300.0	1974967231.0	0.026046525686979294	80.0	0.0	0.01393880881369114	1712157381.3624034
8.0	300.0	1974967233.0	0.026046525686979294	80.0	0.0	0.0	1712157381.567813
8.0	300.0	1974967233.0	0.026046525686979294	80.0	0.0	0.0	1712157381.567813
9.0	300.0	1974967234.0	0.026046525686979294	80.0	0.0	0.0	1712157381.6721978
10.0	300.0	1974967235.0	0.026046525686979294	80.0	0.0	0.0	1712157381.7745352
11.0	300.0	1974967236.0	0.026046525686979294	80.0	0.0	0.01703117974102497	1712157381.9154232
13.0	300.0	1974967239.0	0.026046525686979294	80.0	0.0	0.0	1712157382.120094
14.0	300.0	1974967240.0	0.026046525686979294	80.0	0.0	0.0	1712157382.2224865
15.0	300.0	1974967241.0	0.026046525686979294	80.0	0.0	0.005335019901394844	1712157382.3582892
16.0	300.0	1974967242.0	0.026046525686979294	80.0	0.0	0.011042429134249687	1712157382.4608696
16.0	300.0	1974967242.0	0.026046525686979294	80.0	0.0	0.011042429134249687	1712157382.4608696
17.0	300.0	1974967243.0	0.026046525686979294	80.0	0.0	0.0	1712157382.563262
19.0	300.0	1974967245.0	0.026046525686979294	80.0	0.0	0.0	1712157382.7680705
19.0	300.0	1974967245.0	0.026046525686979294	80.0	0.0	0.0	1712157382.7680705
20.0	300.0	1974967246.0	0.026046525686979294	80.0	0.0	0.018389642238616943	1712157383.096233
21.0	299.91729736328125	1974967249.0	0.026046525686979294	80.0	0.0	0.0	1712157383.276705
22.0	299.8155822753906	1974967251.0	0.026046525686979294	80.0	0.0	0.0054948520846664906	1712157383.379082
23.0	299.67364501953125	1974967252.0	0.026046525686979294	80.0	0.0	0.0	1712157383.4813743
24.0	299.4909362792969	1974967253.0	0.026046525686979294	80.0	0.0	0.0	1712157383.5834703
25.0	299.2684326171875	1974967254.0	0.026046525686979294	80.0	0.0	0.010103479959070683	1712157383.6857855
26.0	299.005126953125	1974967255.0	0.026046525686979294	80.0	0.0	0.0	1712157383.788171
27.0	298.7013244628906	1974967256.0	0.026046525686979294	80.0	0.0	0.0	1712157383.890403
28.0	298.35784912109375	1974967257.0	0.026046525686979294	80.0	0.0	0.0	1712157383.992584
29.0	297.9742431640625	1974967258.0	0.026046525686979294	80.0	0.0	0.015328980050981045	1712157384.09481
30.0	297.5727844238281	1974967259.0	0.026046525686979294	80.0	0.0	0.0	1712157384.196956
31.0	297.17169189453125	1974967260.0	0.026046525686979294	80.0	0.0	0.0	1712157384.2993748
32.0	296.3658447265625	1974967261.0	0.026046525686979294	80.0	0.0	0.019553368911147118	1712157384.4419348
33.0	295.9623718261719	1974967263.0	0.026046525686979294	80.0	0.0	0.01738690212368965	1712157384.545879
35.0	295.1558532714844	1974967265.0	0.026046525686979294	80.0	0.0	0.0	1712157384.7851293
35.0	295.1558532714844	1974967265.0	0.026046525686979294	80.0	0.0	0.0	1712157384.7851293
36.0	294.7525634765625	1974967266.0	0.026046525686979294	80.0	0.0	0.027212442830204964	1712157384.8895516
37.0	294.3490295410156	1974967267.0	0.026046525686979294	80.0	0.0	0.023684019222855568	1712157384.9917622
38.0	293.94598388671875	1974967268.0	0.026046525686979294	80.0	0.0	0.004280307795852423	1712157385.094075
39.0	293.542236328125	1974967269.0	0.026046525686979294	80.0	0.0	0.0	1712157385.1965277
40.0	293.13916015625	1974967270.0	0.026046525686979294	80.0	0.0	0.0	1712157385.298663
41.0	292.73651123046875	1974967271.0	0.026046525686979294	80.0	0.0	0.0	1712157385.401094
42.0	292.3329162597656	1974967272.0	0.026046525686979294	80.0	0.0	0.013501244597136974	1712157385.5037065
